,BTC,ETH,XRP,SOL,TRX,ADA,DOGE,AVAX,DOT,LTC,SHIB,ICP,LINK,BCH,NEAR,UNI,ATOM,ETC
BTC,1.0,0.7902194824151529,0.56669410663561,0.720098560703519,0.27331830688870123,0.6952015602240671,0.7587396729769283,0.6908634719555361,0.6625352403934426,0.5920160784670866,0.6610308904991479,0.5489079105056944,0.6553186618770104,0.6029818841338838,0.648215597120641,0.5845810355213962,0.6338938816717685,0.6860860050496593
ETH,0.7902194824151529,1.0,0.5829780098887888,0.6990399085794112,0.284032802355691,0.7255838197598325,0.7458935571974102,0.7071934432141135,0.7293320261406154,0.6485617202912102,0.6563203180475284,0.5797485581359424,0.7353300851224278,0.5759397070290756,0.6768264689003912,0.6969254330902659,0.6930436549984397,0.823682931383142
XRP,0.56669410663561,0.5829780098887888,1.0,0.5593681449643534,0.2683981498396983,0.7199868430321843,0.5864899328178284,0.5788978144338869,0.6098792814162177,0.5979143112915543,0.5113143977389228,0.4799247835878007,0.6021872997179315,0.41901220964352204,0.5231399164636473,0.4993385873782221,0.5917352206219741,0.5873722391028892
SOL,0.720098560703519,0.6990399085794112,0.5593681449643534,1.0,0.30019633965979176,0.6942545240813238,0.6672221858385361,0.7366800613178488,0.6843571841312798,0.550536292178511,0.596516745665098,0.530806568296803,0.6685924755886548,0.4979638494550983,0.65007227935596,0.5613057492939517,0.6332733404146885,0.6468897444879523
TRX,0.27331830688870123,0.284032802355691,0.2683981498396983,0.30019633965979176,1.0,0.3182258596019195,0.259547208663999,0.28431595532498116,0.3095686950805333,0.2831215245651931,0.21591241983845252,0.29588582767613153,0.2915670657100724,0.27035438027178643,0.2777443005043809,0.29985377831322935,0.3302876196962648,0.3184777351400829
ADA,0.6952015602240671,0.7255838197598325,0.7199868430321843,0.6942545240813238,0.3182258596019195,1.0,0.7224383543895531,0.7399959059027057,0.784314812942915,0.6304720782779811,0.6569522080710796,0.6058525719721922,0.7282127550357557,0.5209822615159383,0.6539976182383163,0.6109925758560113,0.7351348626447776,0.7153326001822984
DOGE,0.7587396729769283,0.7458935571974102,0.5864899328178284,0.6672221858385361,0.259547208663999,0.7224383543895531,1.0,0.7147474391098734,0.7393590227040104,0.6371415280579654,0.8071921042319519,0.5772493686181365,0.6672878319726898,0.5823725884749342,0.6657718720904231,0.6258921710052087,0.7005899807123533,0.7243449535672165
AVAX,0.6908634719555361,0.7071934432141135,0.5788978144338869,0.7366800613178488,0.28431595532498116,0.7399959059027057,0.7147474391098734,1.0,0.7904125841222507,0.6415595040940724,0.6548218432142969,0.655512699347477,0.7507136999586754,0.5334269241217574,0.7365157973237635,0.6257939968056329,0.7429301333434574,0.715290206565434
DOT,0.6625352403934426,0.7293320261406154,0.6098792814162177,0.6843571841312798,0.3095686950805333,0.784314812942915,0.7393590227040104,0.7904125841222507,1.0,0.7127452556780471,0.6994543200574485,0.6826682567892922,0.7587190883274092,0.567327001839733,0.7747429272222842,0.6841866727172015,0.8552619873460969,0.7886932763857462
LTC,0.5920160784670866,0.6485617202912102,0.5979143112915543,0.550536292178511,0.2831215245651931,0.6304720782779811,0.6371415280579654,0.6415595040940724,0.7127452556780471,1.0,0.5909080966558314,0.5470254374916662,0.6505140334924865,0.6141704612353405,0.6026119763785731,0.568633501876755,0.6805080530864951,0.7307286634780173
SHIB,0.6610308904991479,0.6563203180475284,0.5113143977389228,0.596516745665098,0.21591241983845252,0.6569522080710796,0.8071921042319519,0.6548218432142969,0.6994543200574485,0.5909080966558314,1.0,0.5738824077233798,0.6097666389114729,0.5615958924686699,0.6209266249744303,0.5637367942100018,0.6693415769091202,0.7008607719869691
