,BTC,ETH,XRP,SOL,TRX,ADA,DOGE,AVAX,DOT,LTC,SHIB,ICP,LINK,BCH,NEAR,UNI,ATOM,ETC
BTC,0.0005650201435230863,0.0006238065801867293,0.0005784878037664573,0.000762786149458905,0.00020285577034456106,0.000752610290136651,0.0008298739844018199,0.0007724883153013609,0.0006523014934802624,0.0005463672559549506,0.000719344028017244,0.0006632314981243749,0.0007093983205823875,0.0006291455484589691,0.0008006388155888898,0.0007279291275533933,0.0006077557314429194,0.0006382190914991424
ETH,0.0006238065801867293,0.0011029110972094842,0.0008314496828933004,0.001034549116083663,0.00029452721486918857,0.0010974513854218875,0.00113981534820207,0.0011047810118045144,0.0010032356621071973,0.000836258917299051,0.000997858645437831,0.0009786865475325136,0.0011121368801812375,0.0008395801699682996,0.001167972955379324,0.0012124643468182585,0.0009283492323785109,0.0010705071812891296
XRP,0.0005784878037664573,0.0008314496828933004,0.0018442809944984033,0.0010705086133891452,0.00035989825573481564,0.0014082039362760897,0.0011589414577621436,0.0011694540922780263,0.0010848378996522637,0.0009969461270673073,0.001005274090328496,0.0010476601176285206,0.0011777437059129854,0.0007898690948781898,0.0011673917051142036,0.001123365504231175,0.001024994423624634,0.0009871569951865051
SOL,0.000762786149458905,0.001034549116083663,0.0010705086133891452,0.001985901849742589,0.00041770623827774573,0.0014090456286112245,0.001368159594404708,0.0015442781559942681,0.0012631913547446023,0.0009525417948110209,0.0012169828330275897,0.0012023997209058626,0.001356894335645681,0.0009740732204862062,0.001505309270429092,0.00131036049272387,0.0011382840049061304,0.0011281540881696648
TRX,0.00020285577034456106,0.00029452721486918857,0.00035989825573481564,0.00041770623827774573,0.000974929826763033,0.0004525323128294243,0.0003728983251572433,0.0004175953302013253,0.0004003604226143475,0.0003432248812974308,0.00030863645743009173,0.00046961777961556246,0.0004146014336341528,0.0003705399060664861,0.0004506268171332653,0.0004904656695820621,0.00041596760666139164,0.0003891571552423041
ADA,0.000752610290136651,0.0010974513854218875,0.0014082039362760897,0.0014090456286112245,0.0004525323128294243,0.0020742203776290607,0.0015139643004179206,0.0015853475574590103,0.0014795351573881727,0.0011148398972924624,0.0013697589505103182,0.0014025814556035843,0.0015103979395487278,0.0010415144097356728,0.0015477072392551226,0.001457725635607439,0.001350439103224172,0.0012749546327341962
DOGE,0.0008298739844018199,0.00113981534820207,0.0011589414577621436,0.001368159594404708,0.0003728983251572433,0.0015139643004179206,0.0021172628781453238,0.0015470620118549232,0.0014091271821210405,0.0011382626904016919,0.0017003848178413442,0.0013501578520591878,0.0013983189774074845,0.0011762596914980919,0.00159183494155476,0.0015086875993185111,0.0013002649362323828,0.001304343852393528
AVAX,0.0007724883153013609,0.0011047810118045144,0.0011694540922780263,0.0015442781559942681,0.0004175953302013253,0.0015853475574590103,0.0015470620118549232,0.0022127657731852973,0.001540029331369786,0.0011717200520728992,0.0014101775698804472,0.0015674096661079618,0.0016082283689193395,0.0011014316529300715,0.0018002589883123787,0.0015420964066334513,0.001409601112881875,0.0013167680090732832
DOT,0.0006523014934802624,0.0010032356621071973,0.0010848378996522637,0.0012631913547446023,0.0004003604226143475,0.0014795351573881727,0.0014091271821210405,0.001540029331369786,0.0017155952997639369,0.0011462014555298518,0.0013263242272745551,0.0014373112384862777,0.001431179441133998,0.001031468040531022,0.0016674401056382404,0.0014845486831017475,0.001428851619612747,0.0012784237424702932
LTC,0.0005463672559549506,0.000836258917299051,0.0009969461270673073,0.0009525417948110209,0.0003432248812974308,0.0011148398972924624,0.0011382626904016919,0.0011717200520728992,0.0011462014555298518,0.0015074343009525131,0.0010503210255172594,0.001079593862911985,0.0011502216061303541,0.0010467019173267895,0.0012157440541737195,0.0011565490327083085,0.0010656951840761746,0.0011102853390787598
