timestamp,BTC,ETH,XRP,SOL,TRX,ADA,DOGE,AVAX,DOT,LTC,SHIB,ICP,LINK,BCH,NEAR,UNI,ATOM,ETC
2023-04-08,27938.38,1848.82,0.5048,20.04,0.06613,0.3853,0.08134,17.45,6.13,89.91,1.086e-05,4.915,7.13,123.8,1.97,5.914,10.959,20.35
2023-04-09,28323.76,1858.92,0.5054,20.28,0.06662,0.3894,0.08318,17.54,6.211,90.58,1.096e-05,5.015,7.203,125.6,2.006,5.913,11.028,20.56
2023-04-10,29637.34,1910.2,0.5176,20.89,0.0673,0.3971,0.08473,17.94,6.291,93.78,1.113e-05,5.181,7.343,128.0,2.068,6.012,11.18,21.01
2023-04-11,30200.42,1889.86,0.5167,22.98,0.06632,0.4014,0.08408,18.14,6.415,94.22,1.104e-05,5.329,7.301,129.1,2.052,5.933,11.267,21.48
2023-04-12,29888.07,1917.39,0.5049,23.8,0.06514,0.4047,0.08346,18.26,6.403,92.06,1.096e-05,5.397,7.23,128.7,2.226,5.946,11.318,22.04
2023-04-13,30373.84,2012.01,0.5125,24.43,0.06523,0.4251,0.08729,18.84,6.634,94.17,1.11e-05,5.472,7.458,131.1,2.203,6.205,11.807,22.4
2023-04-14,30466.93,2099.99,0.5227,24.71,0.06619,0.4381,0.08866,19.22,6.731,96.33,1.124e-05,5.498,7.743,132.2,2.221,6.308,12.254,22.41
2023-04-15,30295.09,2090.6,0.5192,24.05,0.06588,0.4522,0.08888,19.07,6.804,96.68,1.156e-05,5.86,8.005,132.5,2.316,6.266,12.371,22.08
2023-04-16,30304.65,2118.67,0.5209,25.34,0.06655,0.4513,0.09043,20.17,6.824,100.01,1.157e-05,6.069,8.14,134.4,2.323,6.314,12.662,22.25
2023-04-17,29430.27,2074.0,0.5109,24.58,0.06574,0.4341,0.09137,20.51,6.696,98.84,1.137e-05,6.244,8.16,131.5,2.287,6.129,12.352,21.72
2023-04-18,30380.01,2103.5,0.5324,24.82,0.06681,0.4435,0.09411,21.2,6.914,101.95,1.157e-05,6.819,8.578,133.6,2.346,6.325,12.555,21.87
2023-04-19,28797.1,1933.73,0.4911,22.66,0.06563,0.4163,0.08788,18.98,6.309,90.47,1.083e-05,6.119,7.752,124.9,2.148,5.831,11.702,20.3
2023-04-20,28243.65,1942.98,0.4752,22.2,0.06542,0.4007,0.08389,18.3,6.111,90.22,1.059e-05,5.882,7.512,123.2,2.048,5.785,11.393,20.07
2023-04-21,27262.84,1848.78,0.4491,21.25,0.06497,0.3824,0.07842,16.94,5.849,85.32,1.029e-05,5.533,7.113,119.8,1.927,5.471,10.807,19.32
2023-04-22,27816.85,1874.16,0.4719,21.79,0.0661,0.3956,0.08028,17.21,5.949,87.0,1.046e-05,5.613,7.175,122.0,1.946,5.503,11.03,20.19
2023-04-23,27590.6,1862.0,0.4647,21.47,0.06671,0.3886,0.07878,16.84,5.906,86.75,1.032e-05,5.417,7.082,119.8,1.911,5.429,10.816,19.71
2023-04-24,27510.93,1841.84,0.4611,21.38,0.0661,0.3835,0.07873,16.92,5.885,88.31,1.027e-05,5.372,7.068,119.2,1.885,5.36,10.903,19.4
2023-04-25,28300.79,1866.1,0.4695,21.93,0.06584,0.3945,0.07976,17.63,5.999,91.03,1.036e-05,5.491,7.274,120.2,1.961,5.451,11.05,19.79
2023-04-26,28415.29,1866.01,0.4618,21.28,0.06507,0.4014,0.07859,17.18,5.852,88.13,1.017e-05,5.315,7.004,117.6,1.891,5.357,10.937,19.34
2023-04-27,29472.77,1908.68,0.4667,22.33,0.06576,0.4101,0.08014,17.72,5.97,89.73,1.027e-05,5.742,7.17,117.0,1.923,5.554,11.519,19.81
2023-04-28,29311.7,1890.94,0.4796,23.34,0.06667,0.4043,0.08033,17.55,5.947,89.63,1.024e-05,6.045,7.04,118.0,1.916,5.524,11.715,19.75
2023-04-29,29230.45,1907.8,0.478,23.19,0.068,0.4024,0.08157,17.49,6.041,91.08,1.03e-05,6.488,7.185,119.7,1.936,5.634,11.707,19.81
2023-04-30,29233.21,1870.09,0.4705,22.74,0.06713,0.3956,0.07951,17.1,5.877,88.22,1.007e-05,6.404,7.025,117.7,1.929,5.447,11.515,19.4
2023-05-01,28068.26,1830.73,0.4649,21.96,0.06851,0.3868,0.07882,16.65,5.666,86.75,9.96e-06,5.765,6.898,117.1,1.838,5.331,11.003,19.21
2023-05-02,28669.86,1870.08,0.4645,22.25,0.06922,0.3916,0.07876,16.84,5.713,88.2,1.001e-05,5.724,6.987,119.3,1.835,5.325,11.03,19.25
2023-05-03,29026.16,1905.12,0.4632,22.24,0.06927,0.394,0.07962,17.21,5.778,88.88,1.011e-05,5.939,7.129,120.0,1.899,5.389,11.102,19.55
2023-05-04,28838.16,1877.07,0.4608,21.74,0.0694,0.3873,0.07838,16.93,5.671,88.38,9.89e-06,5.911,6.998,117.3,1.841,5.264,10.98,19.31
2023-05-05,29505.61,1993.3,0.4671,22.82,0.07092,0.3942,0.08017,17.38,5.847,88.61,9.99e-06,5.943,7.226,120.0,1.865,5.545,11.214,19.6
2023-05-06,28848.2,1896.33,0.4582,21.91,0.07025,0.3787,0.07672,16.58,5.633,83.26,9.45e-06,5.591,6.92,117.0,1.767,5.287,10.841,18.94
2023-05-07,28430.1,1870.4,0.449,21.66,0.0692,0.376,0.07652,16.41,5.632,83.42,9.34e-06,5.543,6.911,116.1,1.737,5.262,10.974,18.73
2023-05-08,27668.79,1847.56,0.4283,20.62,0.0685,0.3653,0.07239,15.42,5.369,77.71,8.92e-06,5.331,6.582,111.1,1.643,4.968,10.591,18.27
2023-05-09,27628.27,1846.52,0.4289,20.65,0.06906,0.3633,0.0731,15.31,5.323,79.9,9e-06,5.28,6.522,122.2,1.623,4.954,10.375,18.74
2023-05-10,27598.75,1840.84,0.4303,20.91,0.06933,0.3693,0.07312,15.52,5.463,80.93,8.99e-06,5.288,6.588,115.8,1.661,5.134,10.983,18.81
2023-05-11,26968.62,1794.3,0.4207,20.17,0.06771,0.3598,0.07193,14.95,5.278,80.88,8.68e-06,5.005,6.36,113.2,1.595,5.066,11.026,18.09
2023-05-12,26795.01,1807.45,0.4305,20.9,0.06908,0.3705,0.07235,15.19,5.342,80.45,8.84e-06,5.23,6.623,114.7,1.648,5.194,11.152,18.21
2023-05-13,26775.28,1795.11,0.424,20.84,0.06934,0.3646,0.07167,14.91,5.346,80.26,8.72e-06,5.148,6.491,113.0,1.66,5.103,10.883,18.1
2023-05-14,26917.62,1799.21,0.4253,20.93,0.06939,0.3711,0.07196,15.03,5.347,83.5,8.79e-06,5.194,6.547,115.2,1.656,5.14,10.918,18.12
2023-05-15,27162.14,1816.2,0.4273,20.99,0.07026,0.3669,0.07191,15.08,5.313,86.89,8.79e-06,5.234,6.635,116.1,1.656,5.118,10.798,18.29
2023-05-16,27033.84,1824.21,0.4425,20.67,0.07055,0.3682,0.07275,14.9,5.296,89.99,8.77e-06,5.232,6.659,116.7,1.656,5.144,10.888,18.29
2023-05-17,27405.61,1822.12,0.4484,21.06,0.07121,0.3755,0.07483,15.17,5.422,93.88,8.77e-06,5.38,6.758,118.0,1.699,5.345,10.937,18.55
2023-05-18,26821.28,1800.56,0.4596,20.34,0.07016,0.3714,0.07344,14.68,5.338,90.43,8.7e-06,5.269,6.531,115.3,1.656,5.308,10.736,18.34
2023-05-19,26880.26,1812.32,0.4675,20.36,0.07067,0.3681,0.0735,14.68,5.372,91.8,8.67e-06,5.313,6.51,115.6,1.666,5.317,10.614,18.3
2023-05-20,27102.43,1819.42,0.4685,20.28,0.07257,0.3662,0.07361,14.63,5.409,92.42,8.72e-06,5.223,6.503,116.6,1.661,5.29,10.61,18.32
2023-05-21,26747.78,1804.91,0.4575,19.61,0.07501,0.3602,0.07212,14.31,5.273,92.18,8.52e-06,5.054,6.43,114.7,1.609,5.114,10.474,17.93
2023-05-22,26849.27,1817.35,0.4618,19.53,0.078,0.3679,0.07291,14.68,5.311,90.83,8.79e-06,5.075,6.533,114.7,1.612,5.074,10.488,18.23
2023-05-23,27219.61,1854.05,0.4651,20.02,0.07848,0.3704,0.07289,14.71,5.401,91.7,8.9e-06,5.041,6.504,115.7,1.644,5.072,10.527,18.37
2023-05-24,26329.01,1799.89,0.453,19.22,0.07686,0.3638,0.07064,14.14,5.252,85.82,8.5e-06,4.817,6.32,112.1,1.571,4.976,10.413,17.79
2023-05-25,26473.79,1805.6,0.4538,19.25,0.07677,0.3581,0.07088,14.08,5.245,86.57,8.5e-06,4.819,6.278,111.9,1.563,4.953,10.476,17.72
2023-05-26,26705.92,1827.79,0.4684,19.35,0.07538,0.3626,0.07097,14.33,5.245,87.08,8.54e-06,4.824,6.344,113.2,1.578,4.976,10.53,18.02
2023-05-27,26854.27,1829.89,0.4714,20.43,0.07716,0.3667,0.07255,14.56,5.337,88.55,8.63e-06,4.907,6.438,113.8,1.631,5.043,10.544,18.17
2023-05-28,28065.0,1908.64,0.482,20.81,0.07742,0.3828,0.07352,14.89,5.502,91.45,8.81e-06,4.993,6.631,116.4,1.667,5.145,10.932,18.54
2023-05-29,27736.4,1892.6,0.4946,20.57,0.0761,0.3786,0.07313,14.48,5.459,90.86,8.7e-06,4.875,6.637,114.9,1.626,5.099,10.751,18.36
2023-05-30,27694.4,1900.59,0.5205,21.25,0.07635,0.3779,0.07231,14.45,5.442,92.25,8.68e-06,4.828,6.613,113.9,1.609,5.135,10.837,18.26
2023-05-31,27210.35,1873.63,0.5166,20.81,0.07522,0.3744,0.07165,14.11,5.315,90.42,8.59e-06,4.679,6.478,113.2,1.566,5.025,10.458,18.02
2023-06-01,26817.93,1861.78,0.5065,20.49,0.07477,0.3644,0.07142,14.09,5.206,94.19,8.45e-06,4.671,6.344,113.4,1.547,4.982,10.33,17.83
2023-06-02,27242.59,1906.68,0.5244,21.26,0.08266,0.3782,0.07256,14.49,5.278,95.45,8.6e-06,4.807,6.45,114.9,1.614,5.068,10.653,18.15
2023-06-03,27069.22,1892.06,0.5188,21.19,0.08177,0.3759,0.0727,14.58,5.341,96.03,8.59e-06,4.799,6.421,114.9,1.617,5.085,10.7,18.13
2023-06-04,27115.21,1890.01,0.5359,21.82,0.08138,0.3773,0.07249,14.79,5.314,94.19,8.6e-06,4.794,6.452,115.7,1.617,5.015,10.75,18.23
2023-06-05,25728.2,1810.5,0.509,20.0,0.07832,0.3514,0.0664,13.87,5.065,87.71,7.97e-06,4.338,6.054,108.7,1.498,4.723,10.005,17.0
2023-06-06,27230.08,1884.64,0.53,20.38,0.07821,0.3531,0.07025,14.62,5.202,90.92,8.18e-06,4.421,6.261,114.9,1.533,4.773,10.148,17.59
