,mean_daily,std_daily,mean_annual,std_annual,sharpe_ratio,skewness,kurtosis,min,max
BTC,0.0011483615250409166,0.023770152366425563,0.4191519566399346,0.4541281233153554,0.9229817206208726,0.2618250136414668,2.450484169070737,-0.08925376118948612,0.11228735091416127
ETH,0.00047917950792958667,0.0332101053477625,0.17490052039429912,0.634478171792743,0.27566042169758315,0.3398717897225914,4.2008158481192055,-0.15850134915595218,0.1978709051504642
XRP,0.0013019706820458327,0.042945092787167245,0.47521929894672893,0.8204648456770817,0.5792073864597552,2.633248103312008,31.201574332506354,-0.20811049744221027,0.5486980496524475
SOL,0.0018312941275444767,0.044563458682451804,0.668422356553734,0.8513836826930881,0.7851012065904144,0.24095179889536628,2.3880672300472683,-0.22881119646230996,0.2241587126134054
TRX,0.0014602194156581735,0.03122386630068468,0.5329800867152333,0.5965311280800918,0.8934656745082279,9.165880717484075,221.9081984873948,-0.27075190371533486,0.6734983875845059
ADA,-0.00011378511931320567,0.045543609624502324,-0.04153156854932007,0.8701094401479661,-0.047731430821227994,1.6039112288264497,23.741435430246735,-0.280016957832723,0.5432092637962491
DOGE,0.00039779834661805044,0.04601372488883427,0.1451963965155884,0.879090979661971,0.1651665184545739,0.2162853923458871,3.6763373422292713,-0.25017677173044506,0.23821442895925574
AVAX,-0.00033715328857770576,0.047040044357816,-0.1230609503308626,0.8986987855853781,-0.13693236522035065,-0.20051612640898958,3.3821082421431954,-0.3165176220916683,0.19398349654179745
DOT,-0.001185238137501587,0.041419745288496644,-0.43261192018807926,0.7913231226331239,-0.5466944005737696,-0.2539082974920978,6.739659029044139,-0.32442242865238746,0.25022450991688056
LTC,-0.00013814431609051795,0.03882569124886913,-0.05042267537303905,0.7417637897927258,-0.06797672799197824,-0.2516432448247346,6.4487991851451465,-0.2620148418054647,0.249122063916791
SHIB,-0.0004268278017635173,0.04578075198251187,-0.15579214764368382,0.8746400385362864,-0.17812144514262412,1.672483980207754,16.094059750862318,-0.20949851843744852,0.46661200496650185
ICP,-0.0005055830929763694,0.05083158927450414,-0.18453782893637485,0.971136149508779,-0.19002261323473327,0.4744952293819022,6.6789417267941555,-0.3616313802068167,0.3276424651732963
LINK,0.0005466473531232784,0.04554132422736332,0.1995262838899966,0.8700657776969323,0.22932321785847445,0.2829422382875757,3.648074661418064,-0.239303435378552,0.2878141990292341
BCH,0.0015613201435446362,0.0438949843018437,0.5698818523937922,0.8386124975837012,0.679553254972703,1.8644310943308662,15.847844956931683,-0.16619048531956376,0.4601145516540758
NEAR,-0.000234865460762104,0.05196192108414366,-0.08572589317816795,0.9927311084102745,-0.08635358804807321,0.4606117018451659,3.5444996861376636,-0.18984982321474614,0.32836271422602353
UNI,-3.6366435691572756e-05,0.05238565879441361,-0.013273749027424056,1.0008266059980242,-0.013262785929024612,1.164035788042326,9.96203783828517,-0.3046726166241693,0.43755342265966485
ATOM,-0.0017037180743292221,0.04033485848872229,-0.6218570971301661,0.7705963894260193,-0.8069815868114277,-0.5011254025763596,6.269803634820171,-0.3199954661838717,0.1748563032576158
ETC,-0.0005472249586237861,0.03913445276668351,-0.1997371098976819,0.7476626703079007,-0.267148699313056,0.07203434545680919,6.327852747984036,-0.2875082047646525,0.2187985931232038
